Domain;IP;Comments;Sources
slaine.vk.ru;93.186.225.194;;
slaine.vk.ru;87.240.132.72;;
slaine.vk.ru;87.240.132.67;;
slaine.vk.ru;87.240.132.78;;
cust60.vk.ru;87.240.137.164;;
cust60.vk.ru;87.240.129.133;;
cust60.vk.ru;93.186.225.194;;
cust60.vk.ru;87.240.132.72;;
cust60.vk.ru;87.240.132.78;;
cust60.vk.ru;87.240.132.67;;
mycamcrush.vk.ru;87.240.137.164;;
mycamcrush.vk.ru;87.240.129.133;;
mycamcrush.vk.ru;93.186.225.194;;
mycamcrush.vk.ru;87.240.132.72;;
mycamcrush.vk.ru;87.240.132.67;;
mycamcrush.vk.ru;87.240.132.78;;
hernia.vk.ru;87.240.137.164;;
hernia.vk.ru;87.240.129.133;;
hernia.vk.ru;93.186.225.194;;
hernia.vk.ru;87.240.132.72;;
hernia.vk.ru;87.240.132.67;;
hernia.vk.ru;87.240.132.78;;
listserv.vk.ru;87.240.137.164;;
listserv.vk.ru;87.240.129.133;;
listserv.vk.ru;93.186.225.194;;
listserv.vk.ru;87.240.132.72;;
listserv.vk.ru;87.240.132.78;;
listserv.vk.ru;87.240.132.67;;
purkki.vk.ru;87.240.137.164;;
purkki.vk.ru;87.240.129.133;;
purkki.vk.ru;93.186.225.194;;
purkki.vk.ru;87.240.132.72;;
purkki.vk.ru;87.240.132.67;;
purkki.vk.ru;87.240.132.78;;
clips.vk.ru;87.240.129.133;;
clips.vk.ru;93.186.225.194;;
clips.vk.ru;87.240.132.78;;
clips.vk.ru;87.240.137.164;;
clips.vk.ru;87.240.132.67;;
clips.vk.ru;87.240.132.72;;
qr.vk.ru;87.240.190.110;;
cce.vk.ru;87.240.137.164;;
cce.vk.ru;87.240.129.133;;
cce.vk.ru;93.186.225.194;;
cce.vk.ru;87.240.132.72;;
cce.vk.ru;87.240.132.67;;
cce.vk.ru;87.240.132.78;;
ll.vk.ru;87.240.137.164;;
ll.vk.ru;87.240.129.133;;
ll.vk.ru;93.186.225.194;;
ll.vk.ru;87.240.132.72;;
ll.vk.ru;87.240.132.78;;
ll.vk.ru;87.240.132.67;;
enroll.vk.ru;87.240.137.164;;
enroll.vk.ru;87.240.129.133;;
enroll.vk.ru;93.186.225.194;;
enroll.vk.ru;87.240.132.72;;
enroll.vk.ru;87.240.132.67;;
enroll.vk.ru;87.240.132.78;;
pumpkin.vk.ru;87.240.137.164;;
pumpkin.vk.ru;87.240.129.133;;
pumpkin.vk.ru;93.186.225.194;;
pumpkin.vk.ru;87.240.132.72;;
pumpkin.vk.ru;87.240.132.67;;
pumpkin.vk.ru;87.240.132.78;;
ogin.vk.ru;87.240.137.164;;
ogin.vk.ru;87.240.129.133;;
ogin.vk.ru;93.186.225.194;;
ogin.vk.ru;87.240.132.72;;
ogin.vk.ru;87.240.132.67;;
ogin.vk.ru;87.240.132.78;;
clive.vk.ru;87.240.129.133;;
clive.vk.ru;87.240.132.78;;
clive.vk.ru;93.186.225.194;;
clive.vk.ru;87.240.137.164;;
clive.vk.ru;87.240.132.67;;
clive.vk.ru;87.240.132.72;;
st3-23.vk.ru;95.142.201.54;;
ads.vk.ru;5.61.238.3;;
ms.vk.ru;87.240.129.134;;
st5-7.vk.ru;95.142.202.70;;
add.vk.ru;87.240.137.164;;
add.vk.ru;87.240.129.133;;
add.vk.ru;93.186.225.194;;
add.vk.ru;87.240.132.72;;
add.vk.ru;87.240.132.78;;
add.vk.ru;87.240.132.67;;
advk.vk.ru;87.240.137.164;;
advk.vk.ru;87.240.129.133;;
advk.vk.ru;93.186.225.194;;
advk.vk.ru;87.240.132.72;;
advk.vk.ru;87.240.132.78;;
advk.vk.ru;87.240.132.67;;
st2-20.vk.ru;185.32.249.51;;
smtp.vk.ru;87.240.169.121;;
st3-17.vk.ru;95.142.201.48;;
st3-12.vk.ru;95.142.201.43;;
st7-13.vk.ru;185.32.251.44;;
platform.vk.ru;87.240.190.64;;
platform.vk.ru;87.240.129.187;;
st6-23.vk.ru;95.142.206.3;;
st1-95.vk.ru;95.142.204.151;;
st6-21.vk.ru;95.142.206.1;;
st1-54.vk.ru;95.142.204.176;;
st5-3.vk.ru;95.142.202.66;;
st5-4.vk.ru;95.142.202.67;;
adv.vk.ru;87.240.137.164;;
adv.vk.ru;87.240.132.72;;
adv.vk.ru;87.240.132.78;;
adv.vk.ru;93.186.225.194;;
adv.vk.ru;87.240.129.133;;
adv.vk.ru;87.240.132.67;;
st1-14.vk.ru;95.142.204.170;;
cloud.vk.ru;87.240.137.164;;
cloud.vk.ru;87.240.129.133;;
cloud.vk.ru;93.186.225.194;;
cloud.vk.ru;87.240.132.72;;
cloud.vk.ru;87.240.132.67;;
cloud.vk.ru;87.240.132.78;;
st4-17.vk.ru;95.142.203.48;;
papi.vk.ru;87.240.132.78;;
papi.vk.ru;87.240.129.133;;
papi.vk.ru;87.240.132.72;;
papi.vk.ru;93.186.225.194;;
papi.vk.ru;87.240.137.164;;
papi.vk.ru;87.240.132.67;;
st1-16.vk.ru;95.142.204.175;;
pu.vk.ru;87.240.129.188;;
pu.vk.ru;87.240.190.85;;
pu.vk.ru;87.240.190.74;;
pu.vk.ru;87.240.137.139;;
pu.vk.ru;87.240.129.180;;
st6-20.vk.ru;95.142.206.0;;
st1-25.vk.ru;95.142.204.171;;
dev.vk.ru;87.240.132.64;;
dev.vk.ru;87.240.129.187;;
st6-22.vk.ru;95.142.206.2;;
st.vk.ru;87.240.132.72;;
st.vk.ru;87.240.129.133;;
st.vk.ru;93.186.225.194;;
st.vk.ru;87.240.137.164;;
st.vk.ru;87.240.132.78;;
st.vk.ru;87.240.132.67;;
st2-4.vk.ru;185.32.249.35;;
queuev4.vk.ru;93.186.225.201;;
queuev4.vk.ru;87.240.129.131;;
queuev4.vk.ru;87.240.129.186;;
queuev4.vk.ru;87.240.129.129;;
queuev4.vk.ru;93.186.225.198;;
id.vk.ru;87.240.132.78;;
id.vk.ru;87.240.137.164;;
id.vk.ru;87.240.132.67;;
id.vk.ru;93.186.225.194;;
id.vk.ru;87.240.132.72;;
id.vk.ru;87.240.129.133;;
368d0.vk.ru;93.186.225.208;;
368d0.vk.ru;87.240.190.72;;
368d0.vk.ru;87.240.139.194;;
368d0.vk.ru;87.240.190.78;;
368d0.vk.ru;87.240.137.158;;
368d0.vk.ru;87.240.190.67;;
jobs.vk.ru;93.186.225.208;;
jobs.vk.ru;87.240.190.72;;
jobs.vk.ru;87.240.139.194;;
jobs.vk.ru;87.240.190.67;;
jobs.vk.ru;87.240.137.158;;
jobs.vk.ru;87.240.190.78;;
reg.vk.ru;93.186.225.208;;
reg.vk.ru;87.240.190.72;;
reg.vk.ru;87.240.139.194;;
reg.vk.ru;87.240.190.67;;
reg.vk.ru;87.240.137.158;;
reg.vk.ru;87.240.190.78;;
pop.vk.ru;93.186.225.208;;
pop.vk.ru;87.240.190.72;;
pop.vk.ru;87.240.139.194;;
pop.vk.ru;87.240.190.67;;
pop.vk.ru;87.240.137.158;;
pop.vk.ru;87.240.190.78;;
rabota.vk.ru;95.163.61.129;;
vrabota.vk.ru;87.240.132.67;;
vrabota.vk.ru;87.240.129.133;;
vrabota.vk.ru;87.240.132.72;;
vrabota.vk.ru;87.240.132.78;;
vrabota.vk.ru;93.186.225.194;;
vrabota.vk.ru;87.240.137.164;;
taxi.vk.ru;93.186.225.208;;
taxi.vk.ru;87.240.190.72;;
taxi.vk.ru;87.240.139.194;;
taxi.vk.ru;87.240.190.67;;
taxi.vk.ru;87.240.137.158;;
taxi.vk.ru;87.240.190.78;;
login.vk.ru;87.240.129.181;;
login.vk.ru;87.240.129.135;;
api.vk.ru;87.240.137.208;;
api.vk.ru;87.240.190.75;;
api.vk.ru;87.240.137.207;;
api.vk.ru;87.240.190.70;;
api.vk.ru;87.240.139.193;;
api.vk.ru;87.240.137.206;;
api.vk.ru;87.240.129.140;;
api.vk.ru;93.186.225.205;;
api.vk.ru;87.240.137.130;;
static.vk.ru;87.240.132.67;;
static.vk.ru;87.240.132.78;;
static.vk.ru;87.240.129.133;;
static.vk.ru;93.186.225.194;;
static.vk.ru;87.240.137.164;;
static.vk.ru;87.240.132.72;;
confluence.vk.ru;93.186.225.208;;
confluence.vk.ru;87.240.190.72;;
confluence.vk.ru;87.240.139.194;;
confluence.vk.ru;87.240.190.67;;
confluence.vk.ru;87.240.137.158;;
confluence.vk.ru;87.240.190.78;;
m.vk.ru;87.240.132.72;;
m.vk.ru;87.240.137.164;;
m.vk.ru;87.240.132.67;;
m.vk.ru;93.186.225.194;;
m.vk.ru;87.240.132.78;;
m.vk.ru;87.240.129.133;;
mx1.vk.ru;93.186.225.208;;
mx1.vk.ru;87.240.190.72;;
mx1.vk.ru;87.240.139.194;;
mx1.vk.ru;87.240.190.67;;
mx1.vk.ru;87.240.137.158;;
mx1.vk.ru;87.240.190.78;;
connect.vk.ru;87.240.137.164;;
connect.vk.ru;87.240.129.133;;
connect.vk.ru;87.240.132.78;;
connect.vk.ru;87.240.132.72;;
connect.vk.ru;93.186.225.194;;
connect.vk.ru;87.240.132.67;;
19.vk.ru;93.186.225.208;;
19.vk.ru;87.240.190.72;;
19.vk.ru;87.240.139.194;;
19.vk.ru;87.240.190.67;;
19.vk.ru;87.240.137.158;;
19.vk.ru;87.240.190.78;;
ava.vk.ru;93.186.225.208;;
ava.vk.ru;87.240.190.72;;
ava.vk.ru;87.240.139.194;;
ava.vk.ru;87.240.190.67;;
ava.vk.ru;87.240.137.158;;
ava.vk.ru;87.240.190.78;;
push.vk.ru;93.186.225.208;;
push.vk.ru;87.240.190.72;;
push.vk.ru;87.240.139.194;;
push.vk.ru;87.240.190.67;;
push.vk.ru;87.240.137.158;;
push.vk.ru;87.240.190.78;;
oauth.vk.ru;87.240.129.135;;
oauth.vk.ru;87.240.129.181;;
kasvernostk1.vk.ru;93.186.225.208;;
kasvernostk1.vk.ru;87.240.190.72;;
kasvernostk1.vk.ru;87.240.139.194;;
kasvernostk1.vk.ru;87.240.190.67;;
kasvernostk1.vk.ru;87.240.137.158;;
kasvernostk1.vk.ru;87.240.190.78;;
sy.vk.ru;93.186.225.208;;
sy.vk.ru;87.240.190.72;;
sy.vk.ru;87.240.139.194;;
sy.vk.ru;87.240.190.67;;
sy.vk.ru;87.240.137.158;;
sy.vk.ru;87.240.190.78;;
away.vk.ru;93.186.225.194;;
away.vk.ru;87.240.137.164;;
away.vk.ru;87.240.132.78;;
away.vk.ru;87.240.132.67;;
away.vk.ru;87.240.129.133;;
pop3.vk.ru;93.186.225.208;;
pop3.vk.ru;87.240.190.72;;
pop3.vk.ru;87.240.139.194;;
pop3.vk.ru;87.240.190.78;;
pop3.vk.ru;87.240.137.158;;
pop3.vk.ru;87.240.190.67;;
cs7777.vk.ru;95.213.1.137;;
autodiscover.vk.ru;212.26.226.186;;
mskvernostk.vk.ru;80.250.221.114;;
im.vk.ru;87.240.129.131;;
im.vk.ru;87.240.129.129;;
im.vk.ru;93.186.225.198;;
im.vk.ru;93.186.225.201;;
im.vk.ru;87.240.129.186;;
vk.ru;93.186.225.194;;
vk.ru;87.240.132.78;;
vk.ru;87.240.137.164;;
vk.ru;87.240.132.72;;
vk.ru;87.240.129.133;;
vk.ru;87.240.132.67;;
www.vk.ru;87.240.137.164;;
www.vk.ru;87.240.132.78;;
www.vk.ru;87.240.132.67;;
www.vk.ru;87.240.129.133;;
www.vk.ru;93.186.225.194;;
www.vk.ru;87.240.132.72;;
